title,salary,region,degree,exper,company,industry,detail
招聘高级金融产品经理,38-45万,上海,统招本科,5年以上,快牛金科,互联网/移动互联网/电子商务,岗位使命：基于公司在金融科技领域的发展战略，承担起信贷核心系统的产品规划与设计，致力于成为消费信贷领域的产品专家。你需要做什么：1.带领产品团队对信贷核心系统（包含资产管理系统，放还款系统，支付清洁算，财务等系统等）进行产品设计与管理，以满足快速创新的业务发展需求；2.主导规划业务信息流、资金流、合同流，设计合规合理的业务交易结构，并带领团队推进落地；3.负责与外部合作机构（金融机构、短信商、通道商等）对接沟通，建立并维护良好稳定的合作关系；4.对团队项目的执行落地负责，主导需求分析、产品设计、开发、测试、上线运营的全流程，带领产品团队完成业务目标；5.负责团队成员的管理和培养，建设团队梯度，提升团队战斗力和凝聚力。我们希望你：1.全日制本科及以上学历，经济、金融或计算机、信息科技相关专业，5年以上金融及相关行业工作经验；2.熟练掌握需求调研、需求分析、业务流程设计等方法，具备需求文档、原型设计、业务流程等文档的撰写能力；3.有较强的逻辑分析能力和业务抽象能力，善于挖掘用户潜在需求，擅长基于各类需求和产品数据分析总结出产品解决方案；4.熟知消费金融产品属性，了解各类金融产品交易结构，有银行消费金融互联网小贷等信贷核心系统设计经验，有资产管理系统／财务系统／清结算系统／账务系统相关经验优先；5.熟悉互联网金融行业相关政策及发展趋势，了解法务合规相关知识，具有较强的风险防范意识；6.有团队管理或大型项目管理经验，擅长资源统筹协调及跨部门沟通合作，有领导产品团队开发整个产品周期经验者优先。                        
招聘EHR产品经理,24-42万,北京-亦庄,统招本科,5年以上,北京联联有娱信息科技有限公司,互联网/移动互联网/电子商务,职位描述：1.对接HR及业务部门，沟通、了解、挖掘、分析eh系统相关需求；2.负责将eh相关需求抽象为产品，并对产品架构、功能、交互、UI等进行设计、优化，最终输出高质量产品文档；3.配合设计、规划、推动并管理eh产品的交付项目，并对最终落地产品负责；4.负责eh产品上线后的运营、推广、迭代优化工作，并撰写、审核、迭代相关文档；5.积极主动的理解、反馈、解决eh产品使用过程中的用户问题，并提出系统化解决方案；任职资格：1.大学统招本科及以上学历；2.具有实际的从产品抽象、原型设计、交付及运营的全流程落地经验；3.具备较高的产品抽象、设计能力，系统的产品运营、交付及用户思维；4.具备独立思考能力，较强的逻辑分析能力及沟通能力，习惯结果为导向的工作方式；5.了解人力资源管理及HR工作场景者，可优先考虑；6.熟练使用Axue及Office办公软件。任职要求：                        
招聘产品经理（医药）,12-18万,上海-潍坊,大专及以上,2年以上,金诃藏药股份有限公司,制药/生物工程,1.负责进行市场调研和分析，撰写调研报告，为产品定位和公司的市场战略制定提供依据；2.根据调研结果提炼产品定位，制定市场策略；3.定期拜访各专业学会及专家，了解学会活动安排，寻找合作机会，建立专家网络；4.负责策划、组织和执行相关的学术活动：方案制定、预算、统筹执行、核销、结果评估；5.负责对销售团队、代理商进行产品知识培训；6.制作产品培训资料、各种宣传推广工具；7.协同销售部进行代理商支持、医院开发、医院上量等相关工作的学术、资料及人员支持工作，共同达成销售目标；8.上级领导交办的其他工作。任职要求：1.医学、药学、市场营销或相关专业，大专以上学历。2.二年以上相关工作经历，有销售经验者优先。3.具备医药专业知识和营销管理知识。4.敏锐的市场意识、竞争意识，有一定的营销理论基础、较高的个人悟性。5.具有良好的演讲、沟通、协调、语言文字表达能力，较强的组织协调和创新能力。6.具备良好的计算机操作水平，熟练应用office办公软件和办公自动化设备。7.工作认真，积极主动，勇于承担责任，具有团队合作精神。                        
招聘产品经理,面议,北京,统招本科,2年以上,人民卫生电子音像出版社有限公司,互联网/移动互联网/电子商务,岗位职责:    1.负责医学教育相关数字产品的需求管理、数据分析、产品升级策划等工作。    2.与技术开发部门协作进行产品的开发升级工作。    3.协助进行产品的推广，跟踪用户使用情况，对用户数据进行分析挖掘。4.承担部分售前售后服务工作。   任职要求:    1.计算机、医学、教育相关专业本科及以上学历；    2.富于创新精神，热衷研究新产品，有较强的产品设计能力；    3.逻辑清晰，对数据敏感，善于数据统计分析；    4.良好的沟通能力、较强的观察能力；    5.熟悉数字出版产品开发流程，具有相关工作经验者优先考虑。                          
招聘产品经理/总监,18-36万,北京-中关村,统招本科,5年以上,长沙德昭物流有限公司,交通/物流/运输,岗位职责：1、负责公司产品（仓储运输系统）规划和设计，目标拆解、方向把控和执行部署；2、独立完成产品设计方案，需求分析、原型设计、需求设计、开发推进和产品迭代等完整产品环节；3、参与产品开发全流程，确保产品实现进度和质量；4、负责部门及跨部门协调和沟通，确保项目顺利进行；5、参与线上战略的制定，逻辑清晰的制定相关业务发展规划和方案；6、据市场需求及竞品分析不断迭代优化产品。任职要求：1、本科及以上学历，5年以上互联网产品工作经验；有仓储运输系统项目经验；并有快消品行业经验者优先考虑；2、3-5年产品设计与规划经验，熟悉物流仓储运输系统的业务流程和规范；对国内仓储运输行业有一定的了解；3、具备产品线整体规划和把控能力，有3个以上成功落地的产品上线经验；4、对产品有一定认知，具备较强的产品优化及规划能力；5、熟悉产品从需求、设计到上线所有环节，并能给出建设性意见和指导；6、超强的执行能力和项目推动能力，保证产品的准时上线；7、有良好的商业直觉和逻辑思维能力，良好的沟通力和团队协作精神；*福利待遇：五险一金，餐补，绩效奖励，节日福利，聚餐团建，领导nice*公司地址：北京市海淀区知春路113号银网中心B座1114*乘车路线：地铁4号或10号线海淀黄庄B口，公交站：海淀黄庄北，海淀黄庄西、海淀黄庄东                        
招聘产品设计经理,6-12万,西安,统招本科,3年以上,西安柯辰威尔金属材料有限公司,原材料及加工,职责描述：1、负责产品的外观造型设计和开发；2、在进行产品设计前需要进行市场调研，收集整理用户需求并进行分析；3、参与UI界面和交互形式界面设计；4、产品工业设计技术文档和市场资料支持的编写；5、外观设计专利申请。任职要求：1、年龄23-35岁，工业设计或产品设计相关专业；2、具备良好的草图和徒手作画的能力；3、对美学有独到的认识和见解，创意思维能力强；4、熟练使用矢量绘图软件（比如FREEHAND、deamwoks），像素绘图软件（如PHOTOSHOP），3D渲染工具（如犀牛，3D MAX等）；5、面试时请携带作品。                        
招聘产品设计经理,面议,上海-浦东新区,统招本科,3年以上,上海海立新能源技术有限公司,汽车/摩托车,职责描述：    ① 制定产品开发计划、滚动更新及进度控制，组织里程碑节点评审（新产品、量产品）；    ② 规划及执行新产品研发可行性评估、量产品改良开发及部品设计、产品降本开发及部品设计；    ③ 组织新产品设计失效模式分析、产品特殊性确认、产品测试计划等；    ④ 应客户需求进行产品局部变更设计及相应验证、产品市场问题的改进；    ⑤ 规划及执行产品应用开发和技术研究（性能、噪音、振动、材料等）。   任职要求：    ① 本科及以上学历，制冷、机械类相关专业毕业；    ② 从事压缩机设计工作3年以上，有涡旋压缩机设计经验者优先考虑；    ③ 掌握压缩机设计原理、熟悉压缩机相关试验流程；    ④ 有较好的听、说、读、写能力，熟悉专业词汇，会第二外语者优先（德语、日语    ⑤ 责任心强、积极主动性好，有较好的沟通能力、抗压能力，良好的团队合作精神。                        
招聘奥运项目高级产品经理/产品专家,48-80万,北京-朝阳区,本科及以上,3年以上,优酷网络技术(北京)有限公司,影视/媒体/艺术/文化/出版,职责描述：1、负责奥运业务的各类产品功能的设计及创新，产品包括基于奥运项目C端体系功能，设计CRM系统和线下售卖系统的前后端产品；2、或能够按照国际通用标准设计文体类供应链的B端产品体系，同时协同供应链平台的产品线，包括供应链打通、SOP、客户管理、用户管理、订单管理、库存管理、营销管理、履约管理等；3、进行供应链协同产品的规划设计，并对现有系统提出改进建议；4、与客户进行业务沟通，获取梳理业务需求，管理业务驱动和平台驱动的产品项目。任职要求：1、5年以上互联网公司企业级行业解决方案的相关产品的工作经验，在SaaS、CRM、人工智能、大数据等产品领域有一定的产品经验者优先考虑；2、出色的逻辑思维能力、业务抽象能力和敏锐的商业嗅觉，可以在复杂商业场景关系下完成产品解决方案设计；3、英语口语能力优秀，有激情乐于接受挑战，勇于突破传统。抗压能力强，结果导向明确；4、优秀的产品设计能力与组织协调能力，极强的产品推动力与执行力；5、有海外云端SAAS工作背景的候选人优先；6、有ticketmaste、AEG、AWS、Live Nation、Stuhu相关工作背景的候选人优先考虑。                        
招聘产品经理（医疗数据行业）,18-36万,杭州-余杭区,本科及以上,5年以上,杭州脉兴医疗科技有限公司,医疗/保健/美容/卫生服务,职位描述1. 从海量医疗数据中挖掘、提炼信息和需求，形成产品化的解决方案，用产品提高临床医疗的准确性和效率，用技术驱动医学研究的垂直深入和跨学科融合，让医疗更精准，更高效2. 深耕行业，了解医疗行业发展趋势，对医疗进步和技术有前瞻性、洞察力，规划产品路线图，提出产品需求或改进意见；负责业务平台版本的功能迭代设计、需求文档输出。3. 组织协调开发、设计以及跨部门的产品协调工作，负责产品的研发沟通、测试验收、上线调整等。职位要求1. 有5年以上工作经验，有相关互联网产品经理工作经验者优先。2. 富有创新性，抗压能力强。3. 有过医疗工作经验的优先。4. 逻辑性强，善于思辨，责任心强，具有较强的学习能力、沟通协调能力及统筹能力。5. 大学本科以上学历，理工科专业背景优先。                        
招聘金融产品经理,24-36万,北京-三里屯,本科及以上,5年以上,深圳瑞银信信息技术有限公司,互联网/移动互联网/电子商务,任职要求：1、全日制统招本科或以上学历，金融、计算机、数学、统计等相关专业；2.、五年以上互联网金融产品经理经验，其中三年及以上风控（模型、反欺诈、风控流程、三方数据对接等）相关产品设计经验。3、 具备较强的沟通能力、协调能力、项目推进能力，富有团队合作精神、也能独立承担一个领域，执行力强；4、KPI导向、目标驱动、数据驱动、闭环思维；5、熟练运用如 墨刀、Axue 、WIKI、jia、禅道、 xmind、PPT 等常用工具；6、具备以下条件者优先：①具备账务、支付等领域经验者优先；②具备前端（apph5）设计经验者优先。③能输出高可读性pd文档优先（建议面试时带作品）岗位描述：1. 负责信贷平台风控部门需求的分析、设计，根据业务需求完成产品原型和产品方案输出，包括但不限于互联网金融产品设计、授信借款用户体验优化、风控流程优化、第三方风控数据接入等；2. 负责与风控部门、技术团队对接，跟进并确保风控需求如期上线，确保上线质量；3. 配合风控部门跟进线上业务表现，持续优化风控产品，解决用户痛点，提升用户体验；4. 持续、深入了解金融（信贷业务）行业发展，将业内最新风控产品技术，应用于风控产品体系建设；5. 上级安排的其他工作；                        
招聘数据产品经理,24-36万,北京,统招本科,3年以上,ROOBO 儒博,广告/公关/市场推广/会展,岗位职责：1、独立承担用户数据平台产品的需求及规划设计、制定详细的项目计划并付诸执行；2、深入了解业务，抽象业务需求，与开发一起优化数据采集、加工流程方案；3、关注用户数据报表，从数据出发给各产品线出相应的优化建议；4、配合部门负责人进行数据产品的使用培训和推广，推动数据化运营；任职要求：1、3年在线教育产品经理工作经验，1年以上数据产品经验，拥有良好的数据敏感度和业务视野；2、制定数据产品运营策略，协调部门及业务方持续改善产品功能和使用体验，提高决策效率；3、熟悉数据产品规划和设计工作、数据治理经验；4、熟悉产品及项目管理的基本方法，能够独立组织并协调资源完成数据管理系统的搭建、运营、维护；5、熟练使用SQL，能独立完成基础的数据探查工作； 6、有CRM、客服系统等相关数据产品工作经验优先；工作地址                        
招聘产品经理-食品类,7-18万,上海-浦东新区,本科及以上,3年以上,烨贸金属(上海)有限公司,贸易/进出口,工作内容：1.负责提出进口产品食品类销售计划2.组织团队对国外市场的产品开发和开发中国地区新客户；3.积极完成公司制定的销售业绩目标；4.积极按业务流程规范操作，与各部门协调，完成订单的正常出运；5.及时协调解决供货商客户部属反馈的各种问职位要求：1.本科学历，国际贸易、市场营销、轻工食品等专业，有食品类外贸经验的优先；2.有3年以上大宗物资贸易经验；3.良好的客户沟通及谈判技巧，英语读、说、听、写必须熟练，有接待外商的能力；4.有独立开发国际市场产品的能力，并要有较强的沟通能力及团队协作精神；5.充满活力，富有激情，对工作认真负责。微信分享                        
招聘产品推广经理,24-30万,厦门,本科及以上,5年以上,斐乐,服装服饰/纺织/皮革,岗位职责：1、负责整合营销产品线消费者调研及发展营销规划、利益点、命名、文案及整体推广、运营策略方向，包括对标竞品研究。2、负责串联公司管理层及各业务部门（商品、销售、终端市场等），确保整合营销在各渠道落地执行。3 、负责相关产品推广计划，及相关传播预算的规划、使用和效果。4 、负责相关产品推广活动（如产品发布会等）的策划、组织与实施。5、负责代言人及各类赞助项目的整体规划、推动签约及后续使用。6、参与制定公司的品牌和产品战略与规划，包括产品企划、评审、订货及终端上市推广工作。7 、负责相关的供应商获取及管理使用。任职资格：1、本科及以上学历。2、8年以上一线品牌产品推广经验；有敏锐的市场洞察力、较强的资源整合能力。3、广告公司、咨询公司相关背景优先考虑。4、有运动、休闲品牌相关工作经验，熟悉竞品推广模式及资源运动，具备优良的文案功底。5、较好的人际沟通及团队管理能力、较强的观察力和应变能力；优秀的人际交往和协调能力、较强的社会活动能力。                        
招聘儿童产品经理,面议,厦门,本科及以上,5年以上,斐乐,服装服饰/纺织/皮革,【岗位职责】1、规划品类和分解生意目标负责斐乐儿童Kids的品牌定位，分析销售数据和订货状况，调查和研究市场趋势并结合公司价格成本的定位，分解本品类的生意，制定本品类产品结构。2、分析市场和竞品情况依据市场的时间季节进行市场调查，调查斐乐潮牌的竞品信息、市场流行趋势、本品销售情况等，了解各大主流渠道产品销售状况（本品和竞品）及未来潜在需求，掌握整体市场趋势走向。3、制作每季企划案依据市场流行趋势和消费者的需求和公司品牌资源分配，完成斐乐儿童Kids产品企划案，制定具体的包裹主题、重点品类规划、商品方向、商品结构、上市规划、面料规划等等。4、评审每季图纸依据产品结构核对本品类图纸是否与结构表相符，评审图纸是否能满足生意的需求、主题与企划案是否一致。5、评审每季样品主导评审本品类全配色样品，将产品的创意和结构以及本季的生意目标告诉客户，依照客户和买手的意见，组织设计师和工艺师对产品进行调整和修改。6、订货会培训制定订货会培训资料，参与订货会商品陈列布展，对客户进行现场培训指导。福利：       1、5天8小时工作制，享受弹性调休及带薪年假；　　 2、为员工缴交五险一金-社保、公积金（薪资全额12%缴交）；　　 3、工作日享受餐补、免费的班车，丰厚的年终奖金；　　 4、优美怡人的观音山办公环境、温馨和谐的人文环境、便利快捷的交通枢纽；　　 5、完善的职业规划体系、广阔的发展平台及内部晋升岗位。                         
招聘产品经理（管网管线方向）,12-22万,广州,统招本科,3年以上,广州南方智能技术有限公司,互联网/移动互联网/电子商务,岗位职责：1.熟悉综合管网、供水、排水、燃气、综合管廊其中一种业务；2.表达能力强，系统汇报演示能力突出；3.准确理解用户需求，合理引导用户，控制项目边界，严格按照既定目标和合同条款进行建设；任职要求：1.本科或以上学历，计算机、软件工程、地理信息系统相关专业毕业，1年以上项目管理工作经验；2.具有良好的项目管理能力、协调能力、团队领导能力和承压能力；3.具有良好的需求理解分析能力，善于控制需求边界，能对客户需求进行良好分析和引导；4.具有良好的文档能力，独立撰写项目需求、项目规划、方案、投标书等文档；5.有软件开发工作经验的优先；6.项目管理、汇报、原型制作工具熟练掌握；                        
招聘医疗器械产品经理,10-12万,北京-平谷区,大专及以上,5年以上,中安泰华,医疗设备/器械,1、负责公司产品的市场调研；2、负责公司产品的定义及设计；3、负责公司产品的项目管理；4、负责公司产品的宣传介绍；5、负责公司产品市场；6、负责公司产品生命周期管理；7、要求有2年以上骨科行业经验。                        
招聘产品经理（IC/IS）,18-24万,北京-四惠,统招本科,3年以上,北京万德众归管理咨询有限公司,基金/证券/期货/投资,岗位职责:1，根据公司战略及展现规划，整体研究、策划、设计和完善公司的产品线；2、 调整、优化、维护公司现有产品，随时了解市场状况并做出相应调整和安排；3、 根据公司业务体系，在市场上采集适合公司销售的产品；4、 负责成型产品的路演、推介工作，组织各类的推广活动；5、 负责产品的投后管理，包括跟踪项目运行情况、对接上游机构的信息披露事项等；7、 负责合作渠道的维护和拓展：广泛接触各类金融机构，与包括证券公司、基金公司、信托公司、私募基金管理人等金融机构建立良好的合作关系，并从中寻找业务合作机会；负责金融业务的对接及谈判。岗位职责:1，根据公司战略及展现规划，整体研究、策划、设计和完善公司的产品线；2、 调整、优化、维护公司现有产品，随时了解市场状况并做出相应调整和安排；3、 根据公司业务体系，在市场上采集适合公司销售的产品；4、 负责成型产品的路演、推介工作，组织各类的推广活动；5、 负责产品的投后管理，包括跟踪项目运行情况、对接上游机构的信息披露事项等；7、 负责合作渠道的维护和拓展：广泛接触各类金融机构，与包括证券公司、基金公司、信托公司、私募基金管理人等金融机构建立良好的合作关系，并从中寻找业务合作机会；负责金融业务的对接及谈判。                        
招聘教育产品项目经理,14-30万,北京,本科及以上,3年以上,学成世纪,教育/培训/学术/科研/院校,工作职责:1、负责学大教育集团新产品调研、分析、规划与设计；2、结合公司发展战略，全面推进新产品项目发展，制定项目发展战略规划，完成年度预算及各项指标；3、负责新产品相关的数据分析，优化迭代；4、负责与运营，技术等团队合作，推进业务发展；5、定期进行市场分析、竞品分析和用户研究，持续优化产品体系。任职资格:1、本科及以上学历，相关专业、相关行业者优先；2、三年以上教育培训产品研发、教学、培训、管理经验，综合能力优秀；3、一年以上团队管理经验，能带领团队进行产品研发、推广；4、对教育培训行业有深入了解，熟悉K12教育领域；有过班组产品设计或者运营管理经验优先考虑；5、接受经常出差；6、有敏锐的市场洞察力和分析能力，客户感知能力；具有良好的沟通协调能力和抗压能力；7、有强烈的好奇心、求知欲，学习能力强；具有创新开拓精神、责任心强，工作高效；8、热爱教育事业，专注，具有工匠精神。                        
