title,salary,region,degree,exper,company,industry,detail
招聘高级算法工程师/风控技术负责人,42-66万,北京-西北旺,统招本科,5年以上,轻易科技有限公司,电子技术/半导体/集成电路,岗位职责：1、以数据驱动的风控技术为核心，对获客、审查审批、贷后管理等信贷全流程搭建风控体系； 2、针对消费金融，以及小微金融等新型信贷产品，对应开发设计整套风控评分卡模型，包括准入评分卡、行为评分卡、授信额度评分卡、催收评分卡等各类系统和人工应用，并不断优化；3、 不断研究行业内各种先进的风控手段和方法，并应用到实践当中。针对风险事件进行分析、复盘，不断优化风控模型；4、掌握行业政策信息，提出相应对策，针对公司即时风险问题，评估风险状态与风险程度，分析风险来源和影响，提供解决方案；5、设计公司金融业务的运营流程，并监督执行，保证业务的合规、有序运行；6、 风控团队建设、管理；成员日常工作的指导、督促、培训任职要求：1、 本科及以上学历，计算机科学、数理类等相关专业；2、 4年以上工作经验，具有国内大型银行、知名P2P公司、知名信贷公司等金融行业量化风险管理和建模经验，或具备BAT、FLG等国内外知名互联网或高科技公司数据挖掘经验者优先；3.、具有扎实的技术基础，熟练常用的机器学习数据挖掘模型，精通主流数据处理、分析及开发工具PythonRJavaC等），具有大数据平台上项目开发经验者优先；4、思维严谨，逻辑性强，具备较强的分析能力，具备强烈的风险防范意识。5、 有0-1风控系统建设、数据建模经验者优先；6、 熟悉国家金融风险管理相关制度；                        
招聘图像算法工程师,面议,北京-五道口,硕士及以上,经验不限,厦门瑞为信息技术有限公司,互联网/移动互联网/电子商务,职责描述：1.现有产品线相关算法升级维护。2.对特定算法模块进行研究、仿真、开发和测试，并根据测试结果对算法模块进行优化和改进。3.新算法预研、开发、测试、实施。4.根据开发计划和设计分工，制定所负责研发内容的详细设计说明书。5.参与产品功能、性能设计，编制算法模块设计说明书并提出算法模块的测试方法及标准。任职要求：1.计算机、电子、自动化或数学等相关专业。2.硕士学位以上。3.具备较高的英语水平英语六级，可以熟练阅读理解外文资料。4.了解并理解当前主流的机器学习算法。5.具备扎实的数学基础，包括高等数学、线性代数、概率论、数值分析等。6.熟练掌握CC++编程，深刻理解各种常用数据结构和基础算法，可以进行复杂算法的实现，并具备良好的编程习惯。7.有3年以上目标检测、图像识别相关工作经验者优先。                        
招聘机器人（机器人控制算法工程师）,5-10万,金华,本科及以上,经验不限,浙江科惠医疗,医疗设备/器械,主要职责：1. 负责研发各种电动产品的机器人控制算法开发和更新维护方面工作；2. 学习并了解新产品的BOM单制作及整理；3. 理解并践行企业的质量第一原则。学习并配合完成产品选型、原理设计、成本控制等工作；4. 协助工艺程师完成新产品的各种工艺文件制作及标准化工作；协助专利专员进行专利规避；和团队协作配合各种电机设计开发，嵌入式硬件和软件设计，机器人控制算法等方面工作。5. 协助生产技术员处理产品生产过程中出现的各种技术问题；参与采购，售后服务等流程的商讨制定。6. 完成上级安排的临时性任务。薪资面议要求：1.、电子信息、数学、机电、计算机、自动化等相关专业本科及以上学历；2.熟练运用MATLAB、LABVIEW等工具软件；3.熟悉机器人运动控制理论，熟悉空间坐标变换者优先；4.具备较强的团队协作能力、沟通能力、责任心及上进行，具备较为开放的思维，具备良好的学习能力，能承受较大压力，有创新精神，能独立思考                        
招聘导航、控制（算法）工程师（可实习）,10-18万,上海-浦东新区,硕士及以上,经验不限,极翼机器人(上海)有限公司,计算机硬件/网络设备,1、 负责飞行器导航及控制模型分析与建模仿真；2、 负责飞行器控制或导航算法设计与实现；3、 编写算法设计各阶段相关文档。任职要求：1、 机器人学、电子工程、计算机科学、计算机工程等相关专业硕士及以上学历，具有CC++，MatlaPython开发经验；2、 具有扎实的数学和物理功底，熟悉线性系统理论，飞行器控制理论或传感器融合理论基础；3、 具有融合状态估计、路径规划、自主导航与多旋翼控制相关经验，有过电子设计竞赛、嵌入式竞赛、机器人竞赛或数学建模获奖者优先；4、 在相关领域主流会议或期刊（ICRAIROSRSS等）发表过论文者优先；                        
招聘算法工程师(001917),面议,北京,本科及以上,3年以上,摩拜科技,电子技术/半导体/集成电路,岗位职责:1、负责人工智能算法研发；负责产品研发轨迹和相关策略的设定与执行；2、根据单车业务发展需求，进行C、B等各端相关算法的设计，执行，评估，与优化。任职资格:1、3~5年算法模型相关经验，坚实的机器学习和数学基础；2、有搜索、推荐、机器学习平台等产品研发经验者优先；3、对运筹学、半监督学习、强化学习有研发经验者优先；4、有深度AI 相关研究经验和相关学术背景加分，有ACM 比赛经历或曾在顶级期刊上发表过相关论文优先。你将获得 : 1、充满活力和多元化的团队； 2、有趣，有价值的产品理念；3、系统的实战与理论培训； 4、公平的激励机制； 5、包容、开放的创新土壤；  6、成为一名持续成长、敢于挑战常规、充满正能量的人。                        
招聘高级算法工程师Senior Algorithm Engineer,18-30万,上海-浦东新区,硕士及以上,3年以上,上海矽睿科技有限公司,电子技术/半导体/集成电路,岗位职责:1 负责公司motion Senso  Enviement Senso & System 算法开发和验证。2）结合算法，配合R&D 确定开发新产品的规格以及硬件算法实现的优化。职位要求:1）电子通信计算机自动控制等相关专业研究生或以上学历，3年以上工作经验。2  工作态度积极，为人踏实，身体健康，乐观向上，具有良好的沟通和协调能力，3）有良好的算法基础，精通Matla语言仿真，熟悉C语言编程。有FPGA算法开发经验者可加分。4）能够熟练阅读和理解英文资料，能够适应英语环境下工作。5）有高精度惯性器件补偿标定算法、Kalman滤波算法，IMU，飞控，OIS 等方面科研或项目经验可加分。6）Enjoy 国内半导体公司的创业风险以及未来预期。分享微信邮件                        
招聘高级视觉算法工程师,33-39万,上海-七宝,硕士及以上,2年以上,上海霖罕信息科技有限公司,医疗/保健/美容/卫生服务,"工作职责 1.根据公司项目需求，针对实时物体检测与识别、多相机多目标视频跟踪及再识别、多人场景姿态估计与动作语义识别、多模态感知及数据融合、3D视觉等任务设计与开发新的视觉算法及模型；2.针对公司产品，根据具体场景优化完善现有算法及模型，提升产品性能；3.完成相关技术文档，申报技术专利及发表技术论文。任职资格1.本科及以上学历，研究生优先；2.计算机、电子、控制、数学等相关专业；3 具有较强的数理基础，熟练掌握线性代数，概率论和随机过程。4. 具备计算机视觉模式识别图像处理机器学习等基本知识，两年以上相关工作经验；5. 具有深度学习知识，熟练掌握CNN等模型。熟悉 CaffeTheanoTochTensoflow 等开发平台。6. 熟练掌握C++PythonMatla等语言，具有较强编程能力, 熟悉OpenCVOpenGL 等开源工具。                        "
招聘算法应用工程师,18-30万,深圳-益田村,硕士及以上,经验不限,汇顶科技,电子技术/半导体/集成电路,工作职责:1.     负责把算法仿真、分析工具开发的代码、模型使用C语言实现及定点化；2.     负责算法性能优化工作，在ARM等嵌入式平台上的资源消耗及运行速度达到产品性能要求。任职资格:1.     熟悉CC++语言，能够熟练使用算法仿真、分析工具，具有扎实的编程基础和良好的编程规范；2.     熟悉基本的数字、模拟电路，熟练掌握单片机工作原理，有DSP、ARM或linux开发经验更佳；3.     良好的数学基础，熟悉数据结构、掌握一些常用的算法分析和设计方法；4.     具有良好的逻辑思维、问题分析能力和沟通能力；5.     CET6分数425分及以上，良好的英文技术文档阅读能力； 6.     通信、电子、计算机、自动化等相关专业，硕士及以上学历优先。                        
招聘算法工程师,24-42万,北京,硕士及以上,3年以上,北京点石经纬科技有限公司,汽车/摩托车,岗位描述：1、负责资料、习题的自然语言处理；2、结合自然语言处理技术、语义分析方法和知识图谱技术实现相关模型； 3、基于用户行为基础表和资源基础数据的特征中心数据挖掘和算法开发； 4、算法的迭代优化。任职资格：1、计算机及相关专业，硕士及以上学历，3年以上相关工作经验； 2、熟练使用pythonscalajava等任一一种语言，熟悉常见的数据结构和算法；3、对常见的语言模型和自然语言处理任务有较深的理解，对如分词、关键词提取等任务常见算法有见解；4、熟悉深度自然语言处理的常见技术，如LSTMSeq2Seqet attentiontansfomeGPT  GPT-2等，有基于机器学习深度学习的NLPNLU项目建模开发经验；5、对语义建模和推理、知识图谱领域有较多经验者优先；6、具有良好的逻辑分析和解决问题的能力，对解决挑战性问题充满激情。                        
招聘图像处理算法工程师,10-14万,衢州,本科及以上,经验不限,杭州壹石电子科技有限公司,百货/批发/零售,公司介绍杭州壹石电子科技有限公司是一家中德合资公司，主要研发无人驾驶系统，包括各种传感器集成，环境感知，数据融合，高精度图，路径规划，决策分析，车联网等系统模块。公司主要客户是国内整车厂和一级供应商，市场和项目需要，需要扩大团队，急需不同方向的高端技术人才。本科及以上学历，熟悉主流图像处理算法，如定位、图像匹配、测量等算法， 有模式识经验优先考虑。 任职要求：能复现论文算法（基于CC++OpenCV）。良好的学习新技术的能力。有工业图像处理算法开发经验优先。                        
